Headline,summary
A geolocated dataset of German news articles,Geolocating and embedding 50M German news articles for semantic analysis
Web Crawl Refusals: Insights From Common Crawl,A study on web crawlers facing inconsistent and poorly-signalled blocking
Banned Books: Analysis of Censorship on Amazon.com,Research on Free Expression Online
Harmony in the Australian Domain Space,Analyzing the Australian Web with Web Graphs: Harmonic Centrality at the Domain Level
Hyperlink Hijacking: Exploiting Erroneous URL Links to Phantom Domains,The Dangers of Hijacked Hyperlinks
DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,Enhancing Computational Analysis
esCorpius: A Massive Spanish Crawling Corpus,Computation and Language
 BacklinkDB: A Purpose-Built Backlink Database Management System,The Web as a Graph (Master's Thesis)
